5319	מס' מיון	שם הספר	שם המחבר	הוצאה	כרך	מס' עתי'	Date	Initials	Is Bound	Comments	קטיגורי	מס׳ מדף							
		ארבעה טורים השלם - חשן משפט -- ג -- עה - קכ	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	טז		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ג -- עה - קכ	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	טז		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ד -- רכא - קנו	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יז		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ד -- רכא - קנו	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יז		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ה -- קנז - רד	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יח		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ה -- קנז - רד	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יח		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ו -- רה - רנח	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יט		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ו -- רה - רנח	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יט		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ז -- רנט - של	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	כ		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ז -- רנט - של	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	כ		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ח -- שלא - תכו	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	כא		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם - חשן משפט -- ח -- שלא - תכו	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	כא		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.4							
		שלחן ערוך - אבן העזר השלם -- ד -- קיט - קכט	יעקב בן אשר / קארו, יוסף /סיקרש, יואל /איסרלש, משה 	מכון ירושלים	ד		5/26/2021	AL	FALSE	old label and on wrong shelf	הלכה - אחרונים כללי וסטים	1.4							
		ארבעה טורים השלם -  אבן העזר -- א -- א-סה 	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יא	1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  אבן העזר -- א -- א-סה 	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	יא	2	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
