5319	מס' מיון	שם הספר	שם המחבר	הוצאה	כרך	מס' עתי'	Date	Initials	Is Bound	Comments	קטיגורי	מס׳ מדף							
		הגעלת כלים - הלכות ומנהגים השלם	כהן, צבי	המרכז לחקר ההלכה ומנהגי ישראל			5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		יד מלאכי: א	אברהם, דוד	מכון ירושלים	א		5/11/2021	AL	FALSE		מלונים, כלי עזר, ושונות	4.1							
		יד מלאכי: ב	אברהם, דוד	מכון ירושלים	ב		5/11/2021	AL	FALSE		מלונים, כלי עזר, ושונות	4.1							
		מדריך להלכות טרפות	לוינגר, ישראל מאיר	המכון לחקר החקלאות על פי התורה			5/6/2021	AL	FALSE	pages are falling out	הלכה - אחרונים יו״ד	4.10							
		מזון כשר מן החי	לוינגר, ישראל מאיר	המכון לחקר החקלאות על פי התורה			5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		מראות להלכות טריפות	אדלר, צבי יצחק 	מכון לידע הכשרות			5/10/2021	AL	FALSE	on wrong shelf	הלכה - אחרונים יו״ד	4.10							
		ספר דברי סופרים - קיצור הלכות טריפות הריאה	יברוב, נחום				5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר דרכי הלכה - הלכות שחיטה טריפות	שמרלר, חיים				5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר הלכות חגים - על פי פסקי מרן הראשון לציון	אליהו, מרדכי	דרכי הוראה			5/6/2021	AL	FALSE		הלכה - אחרונים או״ח	4.10							
		ספר הניקור - חלק הקדמי כהלכתה	יאקאב, יצחק אליעזר	מכון תבואות שור	ג		5/6/2021	AL	FALSE	where is number 3	הלכה - אחרונים יו״ד	4.10							
		ספר הניקור - חלק הקדמי כהלכתה: ב	יאקאב, יצחק אליעזר	מכון תבואות שור	ב		5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר ידיו אמונה	ספירשטיין, חיים דוד				5/11/2021	AL	FALSE		מוסר ועניני אגדה - כללי	4.1							
		ספר יסודי הלכה על הלכות איסור והיתר	דביר, שמואל	מכון בית מוריה	ב		5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר יסודי הלכה על הלכות איסור והיתר	דביר, שמואל	מכון בית מוריה	א		5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר כרם אפרים - בדיני מאכלי עכו״ם	לנדא, אפרים יששכר				5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר כשרות המשקאות - אנציקלופדיה לכשרות המזון	אדרעי, עמרם				5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר כשרות וטרפות בעוף	אדלר, בנימין	מפעל אור התורה			5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר מסורת וסימני טהרה בבהמות וחיות	אדלר, ירוחם פישל	מכון אוצר הפוסקים			5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר מסורת משה: חלק שלישי	טנדלר, מרדכי		ג		5/11/2021	AL	FALSE		הלכה - שונות	4.1							
		ספר עיר הקדש והמקדש: א-ב	טוקצינסקי, יחיאל מיכל		א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.1							
		ספר עיר הקדש והמקדש: ג	טוקצינסקי, יחיאל מיכל		ב		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.1							
		ספר עיר הקדש והמקדש: ד	טוקצינסקי, יחיאל מיכל		ג		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.1							
		ספר פתחי הלכה - קיצור הלכות כשרות	פארסט, בנימין עובדיה				5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר שחיטת ואכילת בשר כהלכתה: חלק א	חברי הכולל	מכון להוראה בשחיטות ובדיקות	א		5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר שטר הכתובה	ווילליגער, משה	גלובל פרינט בע״ם			5/11/2021	AL	FALSE		הלכה - שונות	4.1							
		ספר שלחן מלכים - הלכות בישולי גוים	בר שלום, בנימין משה		א		5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר שלחן מלכים - הלכות בישולי גוים	בר שלום, בנימין משה		ב		5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		ספר שערי ההלכה - א	מיסקי, צבי יוסף	אופסט מוריה	א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.1							
		ספר שערי ההלכה - ב	מיסקי, צבי יוסף	אופסט מוריה	ב		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.1							
		ספר שערי ההלכה - ג	מיסקי, צבי יוסף	אופסט מוריה	ג		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.1							
		ספר שערי ההלכה - ד	מיסקי, צבי יוסף	אופסט מוריה	ד		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.1							
		ספר שערי ההלכה - ה	מיסקי, צבי יוסף	אופסט מוריה	ה		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.1							
		קיצור שולחן ערוך - דם מליחה וצליה תערובות	פפויפר, אהרן				5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		קיצור שולחן ערוך - הלכות כשר בחלב: חלק שני הכשרת כלים	פפויפר, אהרן		ב		5/6/2021	AL	FALSE		הלכה - אחרונים יו״ד	4.10							
		שובי ונחזה - גלות וגואלת מצרים	שפירא, משה / ענתבי, משה	ZYA Publications			5/11/2021	AL	FALSE		מוסר ועניני אגדה - מועדים	4.1							
		אוריתא - השואה - כא		אורייתא	כא	1	5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		בינה ודעת - הלכות מחללי שבת בזמנינו 	אדלר, מנחם				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		הרפואה כהלכה - א	שטינברג, אברהם		א		5/11/2021	AL	FALSE	needs a label	הלכה - אחרונים או״ח	4.2							
		הרפואה כהלכה - ב	שטינברג, אברהם		ב		5/11/2021	AL	FALSE	needs a label	הלכה - אחרונים או״ח	4.2							
		הרפואה כהלכה - ג	שטינברג, אברהם		ג		5/11/2021	AL	FALSE	needs a label	הלכה - אחרונים או״ח	4.2							
		הרפואה כהלכה - ד	שטינברג, אברהם		ד		5/11/2021	AL	FALSE	needs a label	הלכה - אחרונים או״ח	4.2							
		הרפואה כהלכה - ה	שטינברג, אברהם		ה		5/11/2021	AL	FALSE	needs a label	הלכה - אחרונים או״ח	4.2							
		הרפואה כהלכה - ו	שטינברג, אברהם		ו		5/11/2021	AL	FALSE	needs a label	הלכה - אחרונים או״ח	4.2							
		ספר אור חדש	בלומנפלד, מאיר בן שלמה	KATZ BOOKBINDING			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		ספר ומקרב בימין	זקוטינסקי, חיים אברהם				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		ספר יבקשו מפיהו - הלכות תפלה - חלק א	קוסובסקי, זעליג		א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		ספר להלכה - פסקי הלכות המצויות בבית היהודי - א	רייכמן, אברהם		א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		ספר תורה והמצות	שטרן, יחיאל מיכל	מכון מנחת ישראל	א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		ספר תורה והמצות	שטרן, יחיאל מיכל	מכון מנחת ישראל	ב		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		עזרה כהלכה - ישמח משה	בייפוס, יוסף שלמה				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		קובץ הלכות מקואות השלם	אלחדד, מיכל דוד	טהרת הבית			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		תשובה כהלכה - הלכה והנהגה לבעלי תשובה	אדלר, מנחם				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.2							
		ברכות אליהו - הלכות ברכות הנהנין	לא ידוע				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ברכות שנשתקעו	גרונר, צבי	מוסד הרב קוק			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		יסודות התפילה	לוי, אליעזר	אברהם ציוני			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		מקור הברכה	מרגליות, ראובן	בית המוריה			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר הלכה - דיני תפילת השחר	הופנר, נפתלי	הוצאת מוסד אליעזר הופנר	ד		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר הלכה סדורה - 79 טבלות הלכה למעשה	רבינוביץ, בנציון / רבינוביץ,בנימין				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר הלכה סדורה - הלכות תפלין	רבינוביץ, בנציון / רבינוביץ,בנימין				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר הלכה סדורה - חלק שני	רבינוביץ, בנציון / רבינוביץ,בנימין		ב		5/10/2021	AL	FALSE	on shelf 4.5	הלכה - אחרונים או״ח	4.3							
		ספר לברך באהבה	אנגל, יצחק	חדות התורה			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר לקוטי שושנים	איציקזאהן, משה				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר מורה קריאת התורה	כ״ץ, יהושע זאב	בטחון			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר מזמור לתודה	טרביס, דניאל יעקב				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר מצות הלבבות ע״פ דרך מצותיך	טרכטמן, בנימין				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר משא הלכה - א	אייזנבאך, משה שמואל		א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר משנת הברכה	ויספיש, נחום מנשה				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר נפש חיה חלק אורח חיים	מרגליות, ראובן	זוהר			5/11/2021	AL	FALSE	has old label	הלכה - אחרונים או״ח	4.3							
		ספר סדר היום	מכיר, משהן				5/11/2021	AL	FALSE	old	הלכה - אחרונים או״ח	4.3							
		ספר עבודת אפרים על הלכות תחנון ונפילת אפים - א	שטיין, אפרים		א		5/10/2021	AL	FALSE	on shelf 4.5	הלכה - אחרונים או״ח	4.3							
		ספר עבודת אפרים על הלכות תחנון ונפילת אפים - ב	שטיין, אפרים		ב		5/10/2021	AL	FALSE	on shelf 4.5	הלכה - אחרונים או״ח	4.3							
		ספר עדות לישראל	ראזענבערג, ישראל	וואלדאן פרעס			5/11/2021	AL	FALSE	old	הלכה - אחרונים או״ח	4.3							
		ספר שלחן הטוהר עם קונטרס שלחן טהרה - א	מקומרנא, ברוך		א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר שלחן הטוהר עם קונטרס שלחן טהרה - ב	מקומרנא, ברוך		ב		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר שערי בית הכנסת	וגשל, שאול	פלדהיים		1	5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ספר שערי בית הכנסת	וגשל, שאול			2	5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ציצית הלכה פסוקה	כהן, צבי	אהל יוסף	ב		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		ציצית ותכלת	כהן, צבי	אהל יוסף	א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		קונטרס בדין מוציא את הרבים ידי חובתם	רייטפארט, יצחק				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		קונטרס בדין קריאת התורה והמגילה	רייטפארט, יצחק				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		תפילין הלכה ומעשה	כהן, צבי				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.3							
		אבני ישפה על הלכות תפילה	פיינהנדלר, פסח ישראל				5/10/2021	AL	FALSE	on shelf 4.5	הלכה - אחרונים או״ח	4.4							
		אשרי האיש - פסקי מרן הגרי״ש אלישיב - אורח חיים א - תפילה / ברכות	פיינהנדלר, יחזקאל		א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		דיני גשרים - וצירופם לקו העירוב	קלמנוביץ, חיים		ד		5/11/2021	AL	FALSE	have old label and am unsure if they are on right shelf	הלכה - אחרונים או״ח	4.4							
		דיני נהר או נחל - הנמצאים בתוך תחום העירוב	קלמנוביץ, חיים		ב		5/11/2021	AL	FALSE	have old label and am unsure if they are on right shelf	הלכה - אחרונים או״ח	4.4							
		דיני צירוף הים לקו העירוב 	קלמנוביץ, חיים		ג		5/11/2021	AL	FALSE	have old label and am unsure if they are on right shelf	הלכה - אחרונים או״ח	4.4							
		דיני תל המתלקט - וצירופו לקו העירוב	קלמנוביץ, חיים		א		5/11/2021	AL	FALSE	have old label and am unsure if they are on right shelf	הלכה - אחרונים או״ח	4.4							
		הליכות שלמה על הלכות תפלה	טרגר, יצחק / אהרן איוערבאך	ישיבת הליכות שלמה			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		הלכות ערובין	לנגה, אלימלך	הוצאת ספרייתי			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר אשי ישראל - דיני תפילה לכל ימות השנה	פפויפר, אברהם ישעיה	מכון נשמת אהרן ויעקב			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר בדרך המלך	אגסי, מדרכי יצחק				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר בין ישראל לנכרי - עניני ״אורח חיים״	גולדברג, חיים בנימין				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר בן איש ימיני - דיני איטר יד ורגל	גולדברג, גדליה				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר ברכת איתן - על קריאת שמע על המטה	שושן, איתן	שאר ישוב			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר הליכות ישראל - א	טאפלין, ישראל / גוסטמאן, ישראל	מכון סופרים	א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר וזאת הברכה השלם - הלכות ברכת הנהנין	יוליוס, אריה				5/10/2021	AL	FALSE	and on 4.6	הלכה - אחרונים או״ח	4.4							
		ספר ימין משה	טביב, משה				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר לחיות כהלכה	שכטר, דן	דפוס תמר			5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר עירוב כהלכתו	עדס, אברהם חיים				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר שגיאות מי יבין	לרנר, יוסף יצחק	מכון אוצר הפוסקים			5/10/2021	AL	FALSE	on shelf 4.5	הלכה - אחרונים או״ח	4.4							
		ספר שגיאות מי יבין - חלק שני	לרנר, יוסף יצחק	מכון אוצר הפוסקים	ב		5/10/2021	AL	FALSE	on shelf 4.5	הלכה - אחרונים או״ח	4.4							
		ספר שומע כעונה - א	טויב, משה	מכון אוצר הפוסקים	א		5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		ספר שמעתתא דמשה	פיינשטיין, משה	מכון אסוקי שמעתתא			5/10/2021	AL	FALSE	on 5.5 shelf	הלכה - אחרונים או״ח	4.4							
		ספר תורת הברכה - דיני ברכות הנהנין	פלדמן, אברהם מרדכי	מכון מנחת ישראל			5/11/2021	AL	FALSE	damge on the binding	הלכה - אחרונים או״ח	4.4							
		עירובין - כללים, מושגים, הלכות	כהן, צבי				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		תפילה כהלכתה	פוקס, יצחק יעקב				5/11/2021	AL	FALSE		הלכה - אחרונים או״ח	4.4							
		איל משולש על הלכות בורר	שלינגר, מנחם אריה 	הוצאת ישיבת בית אליהו		1	7/14/2021	AL	FALSE	needs label	הלכה - אחרונים או״ח	4.5							
		איל משולש על הלכות לישה	שלינגר, מנחם אריה 	הוצאת הפצת-תורה		1	5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		אשמרה שבת על הלכות שבת	אשכנזי, מרדכי				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		בשבילי בית הרפואה	לייזרזון, שמחה בונם				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		הגיוני הלכה - בענייני שבת ומועדים	מרסקי, יצחק	מוסד הרב קוק			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		יסודות הלכות שבת	שלנגר, משה חיים	הישיבה הגדולה פורת יוסף			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		יסודי ישורון - מערכת הלכות שבת	פעלדער, גדליה	אוצר הספרים			5/10/2021	AL	FALSE	tearing inside binding	הלכה - אחרונים או״ח	4.5							
		מאורי הלכה בהלכת שבת - מלאכת טוחן	פלדברגר, יחזקאל	הוצאת מרכז השבת			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		מעדני שבת - ספר אוצר הלכות שבת / יו״ט וחוה״מ	קליינמאן, אשר				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		מערכי לב	לב, זאב	מוסד הרב קוק			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		מקרא קודש	בייפוס, יוסף שלמה				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		מקראי קודש השלם - שבת א	היימן, עופר שמאי / פראנק, צבי פסח	מכון הרב פראנק	א		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר הליכות השבת -- אורח חיים - סימנים רס - רסו	גארדאן, אברהם יוסף	כפתור ופרח			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר השכיר והקבלן בשבת	שיינברגר, דוד				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר זיו השבת	זינגר, יהודה דוב				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר זכרו תורת משה	אהרן שמואל בן משה שלום	אברהם יצחק פריעדמאן			5/10/2021	AL	FALSE	cover is falling apart needs binding	הלכה - אחרונים או״ח	4.5							
		ספר יוסדי ישרון מערכת הלכות שבת	פעלדער, גדליה				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר יושב אהל	ארט, אברהם יהודה				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר יסודי הלכה על הלכות שבת - חלק שלישי	דביר, שמואל		ג		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר יסודי הלכה על הלכות שבת - חלק שני	דביר, שמואל		ב		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר יסודי ישורון - מערכת ל״ט מלאכות - א	פעלדער, גדליה		א		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר יסודי ישורון - מערכת ל״ט מלאכות - ב	פעלדער, גדליה		ב		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר מראי מקומות - הלכות שבת	בירנצוויג, בנימין	דרשו ד' ועוזו			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר משנת השבת - הלכות שבת לפי סדר ל״ט מלאכות	זנדר, משה פנחס	אור המאיר			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר קיצור הלכות שבת	פאזען, יעקב יחזקאל	דפוס האחים גרויס			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר קצות השבת	חזקיה, מיכאל				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		ספר שביתת השבת החדש והשלם על ל״ט מלאכות	מאלצאן, יצחק				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		פסקי הלכות שבת - א	פאדאווער, אפרים אליעזר	אופסט מוריה	א		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		פסקי הלכות שבת - ב	פאדאווער, אפרים אליעזר	אופסט מוריה	ב		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		פסקי הלכות שבת - ג	פאדאווער, אפרים אליעזר	אופסט מוריה	ג		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		שבת ומועד בצה״ל	אבידן, אברהם משה	הוצאת ישיבת שעלבים			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		תרגילים לספר מאורי הלכה בהלכת שבת - מלאכת טוחן	פלדברגר, יחזקאל	הוצאת מרכז השבת			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.5							
		אשרי האיש - פסקי מרן הגרי״ש אלישיב - אורח חיים ב - שבת	פיינהנדלר, יחזקאל	ועד ההלכה לעניני גניזה			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		הלכות שבת בשבת - ב	קארפ, משה מרדכי		ב		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		הלכות שבת בשבת - ג	קארפ, משה מרדכי		ג		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		הלכות שבת בשבת - ד	קארפ, משה מרדכי		ד		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		הלכות שבת בשבת א	קארפ, משה מרדכי		א		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		מאורי אש השלם - ב	אויערבאך, שלמה זלמן	הוצאת אוצרות שלמה	#VALUE!		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		מאורי אש השלם א	אויערבאך, שלמה זלמן	הוצאת אוצרות שלמה	א		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר איל משולש - הלכות בורר	שלזינגר, מנחם אריה	הוצאת ישיבת בית אליהו			5/10/2021	AL	FALSE	needs a label 	הלכה - אחרונים או״ח	4.6							
		ספר ארחות שבת א	גלבר, שלום יוסף / רובין, יצחק מרדכי		א		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר ארחות שבת ב	גלבר, שלום יוסף / רובין, יצחק מרדכי		ב		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר ארחות שבת ג	גלבר, שלום יוסף / רובין, יצחק מרדכי		ג		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר בירורי הלכה - מאור השבת עם פניני המאור - א	יאדלר, משה מאיר	לאור בע״מ	#VALUE!		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר בירורי הלכה - מאור השבת עם פניני המאור - ב	יאדלר, משה מאיר	לאור בע״מ	#VALUE!		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר בירורי הלכה - מאור השבת עם פניני המאור - ג	יאדלר, משה מאיר	לאור בע״מ	#VALUE!		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר בירורי הלכה - מאור השבת עם פניני המאור - ד	יאדלר, משה מאיר	לאור בע״מ	#VALUE!		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר חוט שני - חלק ד	הוכמן, חיים אריה / קרליץ, שמריהו יוסף נסים				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר משפטי יושר חלק א			א		5/10/2021	AL	FALSE	is not labeled, does not have any sign that its yeshiva in the wrong section should be moved to 5.4 or 4.5	הלכה - אחרונים חו״מ	4.6							
		ספר קיצור נחלת שבעה השלם - עניני אירוסים ונישואין	שווארץ, יחזקאל אהרן	מכון תורת אשר			5/10/2021	AL	FALSE	is not labeled,  in the wrong section should be moved to 5.4 or 4.5	הלכה - אחרונים אבהע״ז	4.6							
		ספר שולחן שלמה - חלק ראשון	לייזרזון, שמחה בונם		א		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		ספר שמעתתא דמשה 	פיינשטיין, משה	מכון אסוקי שמעתתא			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		שמירת שבת כהלכתה - א  (מהדורה שלישית)	נויבירט, יהושע ישעיה	פלדהיים	א	2	5/10/2021	AL	FALSE	binding is falling apart 	הלכה - אחרונים או״ח	4.6							
		שמירת שבת כהלכתה - א  (מהדורה שלישית)	נויבירט, יהושע ישעיה	פלדהיים	א	1	5/10/2021	AL	FALSE	binding is falling apart severe	הלכה - אחרונים או״ח	4.6							
		שמירת שבת כהלכתה - ב 	נויבירט, יהושע ישעיה	מוריה	ב	1	5/10/2021	AL	FALSE	needs a label	הלכה - אחרונים או״ח	4.6							
		שמירת שבת כהלכתה - ב 	נויבירט, יהושע ישעיה	מוריה	ב	2	5/10/2021	AL	FALSE	needs a label	הלכה - אחרונים או״ח	4.6							
		שמירת שבת כהלכתה - תיקונים ומלואים / מבוא להלכות שבת 	אויערבאך, שלמה זלמן / נויבירט, יהושע ישעיה	מאורי אור			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.6							
		אשרי האיש - פסקי מרן הגרי״ש אלישיב - אורח חיים ג - מועדים	פיינהנדלר, יחזקאל	ועד ההלכה לעניני גניזה			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		הליכות שלמה על מועדי השנה	טרגר, יצחק / אהרן איוערבאך	פלדהיים			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר הלכות חג בחג - א	קארפ, משה מרדכי	לאור בע״מ	א		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר הלכות חג בחג - ב	קארפ, משה מרדכי	לאור בע״מ	ב		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר הלכות חג בחג - חג הפסח	קארפ, משה מרדכי	לאור בע״מ			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר הלכות חג בחג - חנוכה	קארפ, משה מרדכי	לאור בע״מ			5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר הלכות חג בחג על ימים נוראים	קארפ, משה מרדכי				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר הלכות חג בחג על סוכה	קארפ, משה מרדכי				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר הלכות חג בחג על פורים	קארפ, משה מרדכי				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר חוט שני - הלכות ר״ה - ויוה״כ - סוכות - וחנוכה	הוכמן, חיים אריה / קרליץ, שמריהו יוסף נסים				5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר יבקשו מפיהו - הלכות פורים -- חלק ב	זעליג, קוסובסקי		ב		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר מועדי ה׳ עם ביאור מקראי קדש - חלק א	טנג׳י, אופיר	בית מסחר והוצאת ספרים	א		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר מועדי ה׳ עם ביאור מקראי קדש - חלק ב	טנג׳י, אופיר	בית מסחר והוצאת ספרים	ב		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
		ספר מועדי ה׳ עם ביאור מקראי קדש - חלק ג	טנג׳י, אופיר	בית מסחר והוצאת ספרים	ג		5/10/2021	AL	FALSE		הלכה - אחרונים או״ח	4.7							
